name_a,name_b,similarity_score
UNIVERSITY OF CALIFORNIA DAVIS,UNIVERSITY OF CALIFORNIA IRVINE,88.52
ADAPTIVE TECH RESOURCES,ADAPTIVE TECHNOLOGY RESOURCES,88.46
HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY THE,HEALTH & HOSPITAL CORP OF MARION COUNTY THE,88.42
REGENTS OF THE UNIVERSITY OF CALIFORNIA THE,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,88.42
HARMONY HOUSE NURSING & REHABILITATION CENTER,HARMONY NURSING AND REHABILITATION CENTER,88.37
NEXT STEP BIONICS AND PROSTHETICS,NEXT STEP ORTHOTICS AND PROSTHETICS,88.24
CAPITAL PROSTHETIC & ORTHOTICS CENTER,CAPITAL PROSTHETICS & ORTHOTICS,88.24
SYNERGY MEDICAL USA,SYNERGY MEDICAL,88.24
CITY OF NORTHAMPTON,CITY OF HAMPTON,88.24
CARDINAL HEALTH 414,CARDINAL HEALTH,88.24
CARDINAL HEALTH,CARDINAL HEALTH 108,88.24
CARDINAL HEALTH 200,CARDINAL HEALTH,88.24
T & T TECHNOLOGY,T & T TECHNOLOGIES,88.24
UNITED SITE SERVICES OF TEXAS,UNITED SITE SERVICES OF NEVADA,88.14
LABORATORY CORPORATION OF AMERICA,LABORATORY CORP OF AMERICA,88.14
LJBCO GROUP,LJBCO GROUP II,88.0
LONG BEACH CARE CENTER,LONG BEACH HEALTHCARE CENTER,88.0
PRUITTHEALTH - NORTH AUGUSTA,PRUITTHEALTH - AUGUSTA,88.0
PHARMALOGIC MT,PHARMALOGIC,88.0
PHARMALOGIC WV,PHARMALOGIC,88.0
UNIVERSITY OF MARYLAND SURGICAL ASSOCIATES PA,UNIVERSITY OF MARYLAND NEUROLOGY ASSOCIATES PA,87.91
ADVANTAGE PROSTHETICS & ORTHOTICS,ADVANCE PROSTHETICS AND ORTHOTICS,87.88
CARDINAL HEALTH 200,CARDINAL HEALTH PR 120,87.8
CARDINAL HEALTH 200,CARDINAL HEALTH PR 220,87.8
CARDINAL HEALTH PR 120,CARDINAL HEALTH 108,87.8
VETERANS CONSTRUCTION,VETERANS CONTRACTING,87.8
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,87.72
SSC MYSTIC OPERATING COMPANY,SSC NIANTIC OPERATING COMPANY,87.72
WHITE STONE HEALTHCARE RESOURCES,WHITE STONE SPECTRUM HEALTHCARE RESOURCES,87.67
UNIVERSITY OF MARYLAND NEUROSURGERY ASSOCIATES PA,UNIVERSITY OF MARYLAND EYE ASSOCIATES PA,87.64
WATERS OF BRISTOL A REHABILITATION & NURSING CENTER,WATERS OF SWEETWATER A REHABILITATION & NURSING CENTER,87.62
UNIVERSITY OF FLORIDA,UNIVERSITY OF SOUTH FLORIDA,87.5
THE JANDOR GROUP,THE JAHNDA GROUP,87.5
VYAIRE MEDICAL,VYAIRE MEDICAL 211,87.5
SALVATION ARMY THE,SALVATION ARMY,87.5
MEDIACOM,MEDICOMP,87.5
ACCESS2MOBILITY,ACCESS & MOBILITY,87.5
VYAIRE MEDICAL 203,VYAIRE MEDICAL,87.5
MENTAL HEALTH ASSOCIATION IN DELAWARE,MENTAL HEALTH ASSOCIATION IN TULSA,87.32
TOTAL CARE ORTHOTICS AND PROSTHETICS,TOTAL REHAB ORTHOTICS & PROSTHETICS,87.32
WASTE MANAGEMENT OF ARIZONA,WASTE MANAGEMENT OF VIRGINIA,87.27
AMERICAN VETERAN CONSTRUCTION,AMERICAN WEST CONSTRUCTION,87.27
UNIVERSITY OF MARYLAND SURGICAL ASSOCIATES PA,UNIVERSITY OF MARYLAND NEUROSURGERY ASSOCIATES PA,87.23
THE WHITESTONE GROUP,THE WHITESIDE GROUP,87.18
BLUERIDGE TECHNOLOGY,BLUELINE TECHNOLOGY,87.18
MEDICAL GAS SOLUTIONS,MEDIALAB SOLUTIONS,87.18
HANDICAPPED DRIVER SERVICES,HANDICAPPED DRIVER SERVICES-FLORIDA,87.1
HANDICAPPED DRIVER SERVICES,HANDICAPPED DRIVER SERVICES-ALABAMA,87.1
UNIVERSITY OF MARYLAND SURGICAL ASSOCIATES PA,UNIVERSITY OF MARYLAND EYE ASSOCIATES PA,87.06
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER OF SAN ANTONIO,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,87.04
VETERANS CONTRACTING,VETERANS CONTRACTING GROUP,86.96
REGENTS OF THE UNIVERSITY OF MINNESOTA,REGENTS OF THE UNIVERSITY OF CA,86.96
NORTON SD SKILLED NURSING FACILITY,NORTHBROOK SKILLED NURSING FACILITY,86.96
NATIONAL CONTRACT MANAGEMENT ASSOCIATION,NATIONAL PEST MANAGEMENT ASSOCIATION,86.84
WASTE MANAGEMENT OF IOWA,WASTE MANAGEMENT OF MINNESOTA,86.79
TOTAL MOBILITY SERVICES,TOTAL ACCESS MOBILITY SERVICES,86.79
SOUTHEASTERN MEDICAL BROKERS,SOUTHWESTERN MEDICAL REPS,86.79
WASTE MANAGEMENT OF KANSAS,WASTE MANAGEMENT OF ARIZONA,86.79
ORTHOTICS & PROSTHETICS EAST,ORTHOTIC & PROSTHETIC LAB,86.79
WASTE MANAGEMENT OF OREGON,WASTE MANAGEMENT OF ARIZONA,86.79
AMERICAN MEDICAL RESPONSE OF COCHISE COUNTY,AMERICAN MEDICAL RESPONSE OF CONNECTICUT,86.75
VILLA HEALTHCARE & REHABILITATION CENTER,VILLAGE PLACE HEALTHCARE AND REHABILITATION CENTER,86.67
UNITED SITE SERVICES OF GEORGIA,UNITED SITE SERVICES OF TEXAS,86.67
FRED HUTCHINSON CANCER RESEARCH CENTER,FRED HUTCHINSON CANCER CENTER,86.57
NORTHERN ORTHOTICS & PROSTHETICS,NORTHEAST ORTHOTICS AND PROSTHETICS,86.57
ADVANTAGE PROSTHETICS & ORTHOTICS,ADVANCED PROSTHETICS AND ORTHOTICS,86.57
ADVANCED ORTHOPEDICS & PROSTHETICS,ADVANCE ORTHOTICS AND PROSTHETICS,86.57
UNIVERSITY OF MARYLAND ORTHOPAEDIC ASSOCIATES PA,UNIVERSITY OF MARYLAND EYE ASSOCIATES PA,86.36
SAME DAY TRANSCRIPTIONS,SAME DAY TRANSLATIONS,86.36
GEORGETOWN UNIVERSITY,GEORGE MASON UNIVERSITY,86.36
QUALITY POWER SOLUTIONS,QUALITY AIR SOLUTIONS,86.36
UNITED HOSPITAL SERVICES,UNITED SITE SERVICES,86.36
VETERANS CHOICE SERVICES,VETERANS TECHNICAL SERVICES,86.27
PERFORMANCE MEDICAL SUPPLY,PERFORMANCE HEALTH SUPPLY,86.27
ORTHOTIC & PROSTHETIC CENTERS,ORTHOTIC & PROSTHETIC DESIGNS,86.21
VOLUNTEERS OF AMERICA OF ILLINOIS,VOLUNTEERS OF AMERICA OF INDIANA,86.15
NYS OHM COOK CHILL PRODUCTION,NYS OMH COOK CHILL PRODUCTION CENTER,86.15
CORNERSTONE CONSTRUCTION SERVICES,CORNERSTONE RESTORATION SERVICES,86.15
ABILITY PROSTHETICS & ORTHOTICS,ABILITY PROSTHETICS & ORTHOTICS OF NEVADA,86.11
UNIVERSITY OF CALIFORNIA SAN DIEGO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,86.11
UNIVERSITY OF MARYLAND SURGICAL ASSOCIATES PA,UNIVERSITY OF MARYLAND ORTHOPAEDIC ASSOCIATES PA,86.02
REGENTS OF THE UNIVERSITY OF CALIFORNIA THE,REGENTS OF THE UNIVERSITY OF CALIFORNIA SAN FRANCISCO THE,86.0
HANGER PROSTHETICS & ORTHOTICS WEST,HANGER PROSTHETICS & HOSTICS,85.71
REGENTS OF THE UNIVERSITY OF CALIFORNIA,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,85.71
HANGER PROSTHETICS & ORTHOTICS EAST,HANGER PROSTHETICS & HOSTICS,85.71
ADVANCED CABLE SOLUTIONS,ADVANCED SOLUTIONS,85.71
PHARMALOGIC MT,PHARMALOGIC WV,85.71
THE REMI GROUP,THE TRIM GROUP,85.71
SSC MARLIN OPERATING COMPANY,SSC MYSTIC OPERATING COMPANY,85.71
CENTRAL MAINE ORTHOTICS & PROSTHETICS,CENTRAL TEXAS ORTHOTICS & PROSTHETICS LP,85.71
CAPITOL PEST MANAGEMENT,CAPITAL PROJECT MANAGEMENT,85.71
THE REID GROUP,THE TRIM GROUP,85.71
HANDICAPPED DRIVER SERVICES-FLORIDA,HANDICAPPED DRIVER SERVICES-ALABAMA,85.71
WATERS OF SWEETWATER A REHABILITATION & NURSING CENTER,WATERS OF MEMPHIS A REHABILITATION & NURSING CENTER,85.71
CHARTER COMMUNICATIONS OPERATING,CHARTER COMMUNICATIONS HOLDINGS,85.71
PROGRESSIVE ELDERCARE SERVICES-SALINE,PROGRESSIVE ELDERCARE SERVICES-MORRILTON,85.71
PROGRESSIVE ELDERCARE SERVICES,PROGRESSIVE ELDERCARE SERVICES-MORRILTON,85.71
UNIVERSITY OF MARYLAND ANESTHESIOLOGY ASSOCIATES PA,UNIVERSITY OF MARYLAND EYE ASSOCIATES PA,85.71
ALDEN - VALLEY RIDGE REHABILITATION AND HEALTH CARE CENTER,ALDEN LONG GROVE REHABILITATION AND HEALTH CARE CENTER,85.71
REGENTS OF THE UNIVERSITY OF MICHIGAN,REGENTS OF THE UNIVERSITY OF MINNESOTA,85.33
SSC GREENFIELD OPERATING COMPANY,SSC WACO GREENVIEW OPERATING COMPANY,85.29
RENAL TREATMENT CENTERS - WEST,RENAL TREATMENT CENTERS - SOUTHEAST LP,85.29
UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTHERN CALIFORNIA,85.25
UNITED SITE SERVICES OF GEORGIA,UNITED SITE SERVICES OF NEVADA,85.25
ANEW HEALTHCARE OPERATIONS,ANEW HEALTHCARE OPERATIONS - EASTON,85.25
UNITED SITE SERVICES OF NEVADA,UNITED SITE SERVICES OF FLORIDA,85.25
AMERICAN MEDICAL ASSOCIATION,AMERICAN TELEMEDICINE ASSOCIATION,85.25
CENTER FOR ORTHOTIC AND PROSTHETIC CARE OF NORTH CAROLINA,CENTER FOR ORTHOTIC AND PROSTHETIC CARE OF KENTUCKY,85.19
AMERICAN HEART ASSOCIATION,AMERICAN MEDICAL ASSOCIATION,85.19
WASTE MANAGEMENT OF OREGON,WASTE MANAGEMENT OF COLORADO,85.19
WASTE MANAGEMENT OF OREGON,WASTE MANAGEMENT OF VIRGINIA,85.19
INTEGRITY FEDERAL SERVICES,INTEGRITY NV FUNERAL SERVICE,85.19
ALDEN LINCOLN PARK REHABILITATION & HEALTH CARE CENTER,ALDEN LONG GROVE REHABILITATION AND HEALTH CARE CENTER,85.19
INNOVATIVE SUPPORT SOLUTIONS,INNOVATIVE STEAM SOLUTIONS,85.19
UNIVERSITY OF MARYLAND RADIATION ONCOLOGY ASSOCIATES PA,UNIVERSITY OF MARYLAND NEUROLOGY ASSOCIATES PA,85.15
THE REGENTS OF THE UNIVERSITY OF COLORADO,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA SAN DIEGO,85.11
LIFE TECHNOLOGIES,LIFECANVAS TECHNOLOGIES,85.0
UNIVERSITY OF KANSAS HOSPITAL AUTHORITY,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,85.0
RIVETER ENTERPRISES,RIVERWALK ENTERPRISES,85.0
